藏文	中文
དམ་བཅའ་ལ་ཁས་བླངས་ཀྱིས་བསལ་བ	宗受到承許遣除
དམ་བཅའ་ལ་ཚད་མས་བསལ་བ	宗受到量遣除
དམ་བཅའ་ལ་བསལ་བ་ཡེ་མེད	宗毫無受到遣除
དམ་ཆོས་པད་དཀར	《妙法蓮華經》
དམ་ཆོས	勝法
དུ་བ	煙
དུ་བ་དྲག་འཕྱུར་བ	滾滾濃煙
དུ་མ	異
དུད་འགྲོ	畜生
དུས་མཐའི་སྐད་ཅིག་མ	最短剎那
འདུ་ཤེས	想
དེ་འབྱུང་འབྲེལ	從生相屬
དེ་བྱུང་འབྲེལ་རྒྱུ་མཚན་དུ་བྱས་པ	以從生相屬為〔命名〕原因
དེ་མ་ཐག་རྐྱེན	等無間緣
དེ་བཞིན་ཉིད	真如
དེ་བཞིན་གཤེགས་པ	如來
དེ་བཞིན་གཤེགས་པའི་སྙིང་པོའི་མདོ	《如來藏經》
དེར་ཐལ	理應是彼
དོན་གོམས་པ་ཅན་གྱི་མངོན་སུམ་ཚད་མ	熟悉義的現量
དོན་འགྱུར་གྱི་ཐེ་ཚོམ	合義疑
དོན་གཅིག	同義
དོན་གཉིས	二利
དོན་དམ	勝義
དོན་དམ་བདེན་པ	勝義諦
དོན་དམ་དུ་ཡོད	於勝義有
དོན་དམ་པ་ངོ་བོ་ཉིད་མེད་པ	勝義無自性性
དོན་དམ་པའིི་དགེ་སྦྱོང	勝義沙門
དོན་དམ་པའི་འགོག་པ	勝義滅
དོན་དམ་པར་མེད	無勝義有
དོན་དམ་ཡང་དག་འཕགས	勝義生
དོན་དམ་སེམས་བསྐྱེད	勝義發心
དོན་དེའི་དངོས་མིང	彼義之實名
དོན་དེའི་བཏགས་མིང	彼義之假名
དོན་བསྡུས་སྒྲོན་མེ	《攝義炬論》
དོན་མི་འགྱུར་གྱི་ཐེ་ཚོམ	不合義疑
དོན་མཐུན	符義
དོན་མཐུན་གྱི་བློ	符義的覺知
དོན་བྱེད་ནུས་སྟོང	空有作用者
དོན་བྱེད་སྣང་ཅན་གྱི་མངོན་སུམ་ཚད་མ	見能作用的現量
དོན་སྤྱི	義總
དོན་སྤྱིའི་ཚུལ་གྱིས་རྟོགས་པ	以義總方式通達
དོན་སྦྱོར་རྟོག་པ	合義分別
དོན་རང་མཚན་གྱི་གཞན་སེལ	義自相遣他法
དོན་རིག	義證
དོན་ལ་བལྟོས་ནས་མ་གྲུབ་པའི་གཏན་ཚིགས	待義不成因
དྲང་ངེས་ལེགས་བཤད་སྙིང་པོ	《辨了不了義善說藏》
དྲང་དོན་གྱི་མདོ	不了義經
དྲན་པ་མངོན་དུ་བཞག	安住正念
དྲན་ཤེས	憶念知
དྲིའི་སྐྱེ་མཆེད	香處
དྲིའི་དགག་གཞི	香之遮處
དྲིན་དྲན་པ	念恩
དྲིན་བཟོ་བ	報恩
དྲིན་ལན་བསབས་པའི་མདོ	《大方便佛報恩經》
དྲུག་སྒྲ	屬聲
དྲོད	暖
གདམས་ངག	教授
གདགས་གཞི	施設處
གདུལ་བྱ	所化
བདག	我
བདག་རྐྱེན	增上緣
བདག་གཅིག་འབྲེལ	同體相屬
བདག་གཅིག་འབྲེལ་རྒྱུ་མཚན་དུ་བྱས་པ	以同體相屬為〔命名〕原因
བདག་ཉིད་གཅིག	同體性
བདག་ཉིད་ཐ་དད་པའི་རྒྱུ	自異體因
བདག་ཉིད་གཅིག་པའི་རྒྱུ	自同體因
བདག་འཛིན་ཀུན་བཏགས	遍計我執
བདག་པོའི་འབྲས་བུ	增上果
བདེ་འགྲོ	善趣
བདེ་བ	樂
བདེན་གཉིས་གྱི་རང་འགྲེལ	《二諦自釋》
བདེན་སྟོང	真實空
བདེན་སྟོང་སྒྱུ་མ་ལྟ་བུ	真實空如幻化
བདེན་པ་མངོན་རྟོགས	諦現觀
བདེན་པའི་སྐྱེ་མེད	無實生
བདེན་པའི་རྣམ་ཅན	具諦相
བདེན་པར་གྲུབ་པ	真實成立
བདེན་མེད	無真實有
བདེན་བཞིའི་ཆོས་འཁོར	四諦法輪
བདེན་འཛིན	實執
བདེན་ཞེན	真實耽著
མདོ	經
མདོ་སྡེ་པ	經部師
མདོ་རྒྱ་ཆེ་རོལ་པ	《大遊戲經》
མདོ་སྡེ་དགོངས་འགྲེལ	《解深密經》
མདོ་སྡེ་རྒྱན	《大乘莊嚴經論》
མདོ་སྡེ་དྲན་བ་ཉིར་བཞག	《四念住經》
འདུལ་བ་ལ་བསྟོད་པ	《律讚》
འདམ་བུ	蘆葦
འདིར་བསྟན	此示
འདིར་བསྟན་གཙོ་བོ	此處主要所示
འདུན་པ	希求
འདུས་བྱས	有為
འདུས་མ་བྱས	無為
འདུས་མ་བྱས་ཀྱི་ནམ་མཁའ	無為虛空
འདུས་བསགས	聚積體
འདོད་ཉོན	欲界煩惱
འདོད་ཆགས	貪
འདོད་ཆགས་དང་བྲལ་བ	離......染
འདོད་ན	若許
འདོད་མི་ནུས་ཏེ	不能如是承許
འདོད་ལྷ	欲天
འདོད་ལྷའི་རྟེན	欲天所依
འདྲ་བ་རྒྱུ་མཚན་དུ་བྱས་པའི་བཏགས་མིང	以相似為〔命名〕原因的假名
རྡུལ	塵
རྡེའུ་ཤིང	小木石
རྡོ་རྗེ་རྒྱལ་མཚན	金剛幢
རྡོ་རྗེ་གཟེགས་མའི་གཏས་ཚིགས	金剛屑因
བརྡ་དུས་གྱི་མིང	介紹時的名
ལྡན་མིན་འདུ་བྱེད	不相應行
ལྡོག་ཁྱབ	異品遍
ལྡོག་ཁྱབ་རྣལ་མ	正異品遍
ལྡོག་ཁྱབ་ཕྱིན་ཅི་ལོག	倒異品遍
ལྡོག་ཆོས	反法
ལྡོག་ཆོས་ཕུང་གསུམ་ཙམ་པོ་བ	純反法第三類
ལྡོག་ཆོས་ཕུང་གསུམ་ཙམ་པོ་བའི་རྗེས་མཐུན	隨順純反法第三類
ལྡོག་པ་ངོས་འཛིན	認知返體
ལྡོག་བྱེད་ཀྱི་རྟེན་ཁྱད་པར་ཅན	能反的殊依
སྡུག་བསྔལ	苦
སྡུག་བསྔལ་གྱི་སྡུག་བསྔལ	苦苦
སྡུག་བསྔལ་ཆོས་བཟོད	苦法忍
སྡུག་བསྔལ་མཐོང་སྤངས	見苦所斷
སྡུག་བསྔལ་འཕགས་པའི་བདེན་པ	苦聖諦
སྡུད་འགྲེལ་རྟོགས་སླ	《易了攝頌釋》
སྡུད་པའི་དཀའ་འགྲེལ	《攝頌要釋》
སྡུད་པ	《般若攝頌》
སྡེ་སྣོད་གསུམ	三藏
སྡེ་ཚན	群組
སྡེ་བདུན་ཡིད་ཀྱི་མུན་སེལ	《七部除意闇釋》
བརྡ	言
བརྡའི་འགོག་པ	名言滅
བསྡུས་དོན	略義
དུས	死後、時
དམིགས་པ	所緣
འདུ་བྱེད་དང་བཅས་ཏེ་འདའ་བ	有行般
འདུ་བྱེད་མེད་པར་འདའ་བ	無行般
ནང་པ	內道
ནམ་མཁའ	虛空
ནམ་མཁའི་མེ་ཏོག	空花
ནུས་པ་ཐོགས་མེད	無礙能力
གནད་ཀྱི་ཟླ་འོད	《月光要論》
གནད་གཅིག	同一關鍵
གནས་ལུགས	實相
གནས་ལུགས་མཐར་ཐུག	究竟實相
གནོོད་སྦྱིན	夜叉
གནོད་འཇོམས་མཁན་པོ	斷諍堪布
གནོད་སེམས	損心
རྣ་ཤེས་ཀྱི་མཉན་བྱ	耳知所聞
རྣམ་མཁྱེན	一切相智
རྣམ་གྲངས	異門
རྣམ་འགྲེལ	《釋量論》
རྣམ་འགྲེལ་མངོན་སུམ་ལེའུ	《釋量論・現前品》
རྣམ་འགྲེལ་རང་དོན་ལེའུ	《釋量論・自立品》
རྣམ་གྲོལ་སྡེ	解脫軍
རྣམ་གྲོལ་ལམ	解脫道
རྣམ་ངེས་ཊཱིཀ་ཆེན	《定量論廣釋》
རྣམ་བཅད	外排
རྣམ་པ	行相
རྣམ་པ་ཐམས་ཅད་མགྱེན་པ	一切相智
རྣམ་པར་གཅོད་པ	外排
རྣམ་པར་འཚེ་བ	害
རྣམ་པར་སྨིན་པའི་སེམས་བསྐྱེད	異熟發心
རྣམ་པར་རིག་པ	了別
རྣམ་པར་ཤེས་པ	識
རྣམ་སྨིན	異熟
རྣམ་སྨིན་གྱི་རྒྱུ	異熟因
རྣམ་སྨིན་གྱི་འབྲས་བུ	異熟果
རྣམ་རྫོགས་སྦྱོར་བ	圓滿加行
རྣམ་གཡེང	散亂
རྣམ་རིག	了別
རྣམ་ཤེས་རིགས་མཐུན་རྫས་ཐ་དད	同類異質識
རྣས་བཤད་སྙིང་པོའི་རྒྱན	《解心要莊嚴疏》
རྣམ་བཤད་ཐར་ལམ་གསལ་བྱེད	《明解脫道疏》
རྣམ་བཤད་རིགས་པ	《釋理論》
སྣ་ཤེས་ཀྱི་སྣུམ་བྱ	鼻知所嗅
སྣག་ཚ	墨水
སྣང་བ	"顯現	明"
སྣང་བའི་དབང་གིས་བཞག་པ	以顯現之力所安立
སྣང་ཚུལ	顯現方式
སྣང་ཡུལ	顯現鏡
སྣང་རུང་གིི་ཁྱབ་བྱེད་མ་དམིགས་པའི་རྟགས་ཡང་དག	可現之能遍不可得正因
སྣང་རུང་གི་འགལ་དམིགས་ཀྱི་རྟགས་ཡང་དག	可現之相違可得正因
སྣང་རུང་གི་རྒྱུ་མ་དམིགས་པའི་རྟགས་ཡང་དག	可現之因不可得正因
སྣང་རུང་གི་དངོས་འབྲས་མ་དམིགས་པའི་རྟགས་ཡང་དག	可現之親果不可得正因
སྣང་རུང་གི་འབྲེལ་ཡུལ་མ་དམིགས་པའི་རྟགས་ཡང་དག	可現之相屬境不可得正因
སྣང་རུང་གི་རང་བཞིན་མ་དམིགས་པའི་རྟགས་ཡང་དག	可現之自性不可得正因
སྣང་ལ་མ་ངེས	顯而不定
སྣོད་བཅུད	情器
པཎ་ཆེན་བསོད་གྲགས	大班智達福稱論師
དཔེ	喻
དཔྱད་དོན་མཐར་ཐུག་པ	究竟觀察義
དཔྱད་གསུམ་གྱིས་དག་པའི་ལུང	三察清淨聖言
དཔྱོད་པ	伺
སྤང་བྱ	所斷
སྤང་བྱ་ཅིག་ཆར་བ	頓斷
སྤང་བྱ་རིམ་གྱིས་བ	漸斷
སྤང་བྱའི་གཙོ་བོ	主要所斷
སྤངས་པ	斷〔德〕
སྤེལ་མར་སྐྱེ་བ	交替生起
སྤོང་བ	斷除
སྤྱི	總
སྤྱི་སྐད	共識、共許
སྤྱི་མཚན	共相
སྤྱོད་པ་ཉམས་ལེན་གྱི་བྱ་བ	修持行為
སྤྱོད་འཇུག་རྣམ་བཤད	《入行論疏》
སྤྱོད་འཇུག	《入行論》
སྤྱོད་འཇུག་ཊཱིཀྐ	《入行論廣釋》
སྤྱོད་ཡུལ	行境
སྤྲིན	雲
སྤྲུལ་སྐུ	化身
སྤྲོས་པ	戲論
དཔྱད་གཞི	課題.題材
ཕ་རོལ་ཏུ་ཕྱིན་པ	般若波羅蜜多
ཕ་རོལ་དུ་ཕྱིན་པ་དྲུག	六度
ཕན་ཚུལ་སྤངས་འགལ	互排相違
ཕན་ཚན་སྤངས་འགལ་ལ་བརྟེན་པའི་འགལ་དམིགས་ཀྱིི་རྟགས་ཡང་དག	依賴互排相違之可現的相違可得正因
ཕན་ཡོན	勝利
ཕམ་པ	波羅夷罪
ཕམ་ཕྱིན་ཐེག་པ	般若乘
ཕུང་པོ	蘊
ཕུང་གསུམ་པ	第三類
ཕུགས་གྱི་འཁྲུལ་རྒྱུ	底層錯亂因
ཕུལ་དུ་བྱུང་བ	高妙、殊勝
ཕུན་ཚོགས	圓滿
ཕྱ་ལེ	正
ཕྱ་ལེ་མིན་པ	歪
ཕྱི་རྒོལ་ལ་བསྟོས་ནས་མ་གྲུབ་པའི་གཏན་ཚིགས	待敵論者之不成因
ཕྱི་མ་སླ	後項容易
ཕྱིར་མི་ལྡོག་པ	不退轉
ཕྱིར་མི་འོང་དད་མོས་པ	不還信解
ཕྱིར་མི་འོང་འབྲས་གནས	住不還果
ཕྱི་རོལ་པ	外道
ཕྱིར་འོང་འབྲས་གནས	住一來果
ཕྱིར་འོང་འབྲས་གནས་ཙམ་པོ་བ	但住一來果
ཕྱིར་འོང་ཞུགས་པ	一來向
ཕྱུགས་རྫི་ལྟ་བུའི་སེམས་བསྐྱེད	如牧人發心
ཕྱེད་གཞི་རྩིས	半諍事納入
ཕྱོགས	宗
ཕྱོགས་ཀྱི་གླང་པོ	陳那
ཕྱོགས་ཆོས	宗法
ཕྱོགས་ཆོས་ཅན་དུ་སོང་བའི་གང་ཟག	宗法相應的補特伽羅
ཕྲ་རྒྱས	隨眠
ཕྲག་དོག	嫉
ཕྲད་པ	相遇
འཕགས་པ	聖者
འཕགས་པ་ཐོགས་མེད	無著聖者
འཕགས་པ་དེ་ཁོ་ན་ཉིད་ངེས་པར་བསྟན་པའི་ཏིང་ངེ་འཇིན་གྱི་མདོ	《決定示聖真實三摩地經》
འཕགས་པའི་གང་ཟག	聖者補特伽羅
འཕགས་པའི་ཆོས་འདུལ་བ	聖者調伏法
འཕགས་པ་ཀླུ་སྒྲུབ	聖者龍樹
འཕགས་ལམ	聖道
འཕགས་ཆོས་བརྟེན་ཚུལ་གྱི་སྒོ་ནས	以依聖法門
ཕྱིར་མི་འོང	不還
ཕྱིར་མི་འོང་ཞུགས་པ	不還向
ཕྱིར་མི་འོང་སྐྱེས་འདའ་བ	不還生般
འཕགས་ཆོོས་བརྟེན་ཚུལ་གྱི་སྒོ་ནས	依聖法門
འཕགས་ལམ་ཡན་ལག་བརྒྱད	八聖道支
འཕྲལ་གྱི་འཁྲུལ་རྒྱུ	暫時錯亂因
འཕྲིན་ལས	事業
བག་ཆགས	習氣
བག་ཆགས་སད་པ	習氣覺醒
བག་མེད	放逸
བག་ལ་ཉལ་བ	隨眠
བར་ཆད་མེད་ལམ	無間道
བར་འདའ་བ	中般
བུ་རམ་གྱི་ཤིང	甘蔗
བུདྡྷ་ཤྲཱི	布達希利
བུམ་སྣམ	瓶套
བུམ་པ	寶瓶
བེམ་པོ	塵聚
བེམ་པོར་གྱུར་པའི་ལྷན་ཅིག་མི་གནས་འགལ་ལ་བརྟེན་པའི་འགལ་དམིགས་ཀྱི་རྟགས་ཡང་དག	依賴塵聚不並存相違之相違可得正因
བྱ་བ་འབྲས་བུ་དང་བཅས་པ་ལ་བཟླས་པ	宣誦所作事與果
བྱ་རོག	烏鴉
བྱ་རྗོགས་ཀྱི་སྐད་ཅིག་མ	成事剎那
བྱང་ཆུབ་མཆོག	勝菩提
བྱང་ཆུབ་ལམ་སྒྲོན	《菩提道燈論》
བྱང་ཆུབ་ལམ་རིམ་ཆེ་བ	《菩提道次第廣論》
བྱང་ཆུབ་ལམ་རིམ་འབྲིང་བ	《菩提道次第略論》
བྱང་ཆུབ་སེམས་འགྲེལ	《菩提心釋》
བྱང་ཆུབ་སེམས་དཔའ་ཀུན་ཏུ་བཟང་པོ	普賢菩薩
བྱང་ཆུབ་སེམས་དཔའ་བཟང་སྐྱོང	賢護菩薩
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ	菩蕯摩訶薩
བྱང་སྡོམ	菩蕯律儀
བྱང་ཕྱོགས་སོ་བདུན	三十七菩提分道品
བྱང་ས	〈菩薩地〉
བྱམས་ཞུས་ཀྱི་ལེའུ	〈彌勤請問品〉
བྱས་པ	所有性
བྱེ་བྲག	別
བྱེད་པ་ལ་བཟླས་པ	宣誦作用
བྱེད་ལས	作用
བྲམ་ཟེ	婆羅門
བྲལ་བའི་འབྲས་བུ	離繫果
བླ་མ	上師
བླ་མེད་བྱང་ཆུབ	無上菩提
བློ་གྲོས	智慧
བློ་གནོད་མེད	無違害覺
བློའི་འཕེན་པ	牽引想
བློ་ལ་བལྟོས་ནས་མ་གྲུབ་པའི་གཏན་ཚིགས	待覺知不成因
དབང་རྟུལ	鈍根
དབང་རྟེན	根依
དབང་རྣོན	利根
དབང་པོ་རབ	利根者
དབང་པོའི་མངོན་སུམ	根現前
དབང་ཤེས	根知
དབུ་མ་རྒྱན	《中觀莊嚴論》
དབུ་མ་རྒྱན་རྩ་འགྲེལ	《中觀莊嚴論》根本頌與其疏
དབུ་མ་སྣང་བ	《中觀光明論》
དབུ་མ་པའི་ལུགས	中觀宗
དབུ་མའི་ལྟ་བ	中觀見
དབུས་མཐའ	《辨中邊論》
དབྱིག་གཉེན	世親
དབྱིག་བཤེས	世友
དབྱེ་གཞི	分類源
དབུ་མ་འཇུག་པ	《入中論》
བྱ་བྱེད་ལས་གསུམ	動作、作者、施予動作的對象
བྱིང་བ	沉沒
བྱེ་བྲག་སྨྲ་བ	分別部、有部
བྱེ་བྲག་ཏུ་སྨྲ་བ	毘婆沙師
བྱེད་རྒྱུ	能作因
བྱེད་རྒྱུ་ནུས་ལྡན	有作用的能作因
བྱེད་རྒྱུ་ནུས་མེད	無功用的能作因
བྱེད་པ	作用
བྱེད་པ་རྒྱུ་མཐུན་གྱི་འབྲས་བུ	造作等流果
འབྲས་གྱི་ཞིང	稻田
འབྲས་སྐྱབས	果歸依處
འབྲས་རྟགས་ཡང་དག	果正因
འབྲས་གནས	住果
འབྲས་བུ	果
འབྲས་བུ་འགལ་དམིགས	果相違可得
འབྲས་བུ་ཆོས་འཁོར	法輪果
འབྲས་བུ་རིམ་གྱིས་བ	次第證
འབྲས་མིང་རྒྱུ་ལ་བདགས་པ	於因取果名
འབྲེ་ཆེན་པོ	擇千布
འབྲེལ་བ	相屬
འབྲེལ་བ་རྒྱུ་མཚན་དུ་བྱས་པའི་བདགས་མིང	以相屬為〔命名〕原因的假名
འབྲེལ་ཟླ	相屬伴
བློ	覺知、覺
བློའི་གཞན་སེལ	覺知遣他法
བློ་སྡོམ	《心類學嗢陀南》
བློ་རིག	《心類學》、覺知
དབྱིབས	形狀
དབྱེ་བ	分類
འབྱུང་ཁུངས	本源
སྦས་དོན	隱義
སྦས་དོན་མངོན་རྟོགས་ཀྱི་རིམ་པ	隱義現觀次第
སྦུགས་ཚང་གི་འགོད་ཚུལ	蘊含的立式
སྦྱོར་བཞི	四加行
སྦྱོར་ལམ	加行道
བརྟེན	依
བར་ན	之間
བར་ཆད	障礙
མིའི་རིགས་ནས་རིགས་སྐྱེ	人家家
མྱུར་བར་འདའ་བ	速般
མྱུར་བ་མ་ཡིན་བར་འདའ་བ	非速般
མྱོང་བ	體驗
ཙམ་པོ་བ	但住者
ཙོང་ཁ་པ	宗喀巴
གཙང་བ	淨
གཙོ་བོ་རྣམ་རིག	主識、識王
བཙུན་པ་གྲོལ་སྡེ	大德解脫軍
བཙུན་པ་དབྱངས་སྒྲོག	妙楊音大德
རྩ་ཉོན་དྲུག	六根本煩惱
རྩ་བར་འདོད་མི་ནུས་ཏེ	不能承許根本（所許）
རྩ་བའི་ཁ་དོག	根本色
རྩ་བའི་ཁྱབ་པ་སྒྲུབ་པ	成立根本周遍
རྩ་བའི་བླ་མ	根本上師
རྩ་ཤེ་ཊཱིཀ་ཆེན	《根本中論廣釋》
རྩིབས	輪輻
རྩེ་སྦྱོར	頂加行
རྩེ་མོ	頂
རྩོད་གཞི	諍事
རྩོམ་པར་དམ་བཅའ	造論誓言
རྩོལ་བྱུང	勤勇所發
བརྩོན་པ	精勤
བརྩོན་འགྲུས	精進
ཚངས་རིགས	梵眾天
ཚད་མ	量
ཚད་མ་ཀུན་བཏུས	《集量論》
ཚད་མ་རྣམ་འགྲེལ	《釋量論》
ཚད་མ་རྣམ་འགྲེལ་ཊཱིཀ་ཆེན་རིགས་པའི་རྒྱ་མཚོ	《釋量論正理海廣釋》
ཚད་མའི་རིགས་རྒྱན	《量理莊嚴疏》
ཚད་མར་སོང་བ	對……而言是量
ཚད་མས་དམིགས་པ	量所緣及
ཚད་མའི་མདོ	《量經》
ཚད་མ་མདོའི་དར་ཊཱིཀ	《賈曹傑的量經釋》
ཚད་མ་མདོའི་རང་འགྲེལ	《量經自釋》
ཚད་མའི་དེ་ཁོ་ན་ཉིད་བསྡུས་པ	《攝真實性釋難》
ཚད་མིན་གྱི་ཤེས་པ	非量知
ཚིག	句
ཚིག་དོན	文義
ཚིག་གསལ	《明句疏》
ཚུར་མཐོང	觀現世者
ཚུལ་ཁྲིམས་ཀྱི་བསླབ་པ	戒學
ཚུལ་ཁྲིམས་བརྟུལ་ཞུགས་མཆོག་འཛིན	戒禁取見
ཚུལ་བརྒྱ་ལྔ་བཅུ་པ	《般若百理五十頌》
ཚེ་ཐུང་བ	短壽
ཚེ་དང་ལྡན་པ་འོད་སྲུངས་ཆེན་པོ	具壽大迦葉
ཚེ་གཅིག	一生
ཚེ་གཅིག་བར་ཆད་གཅིག་པ	一生一間
ཚོགས	資糧
ཚོགས་བརྗོད་ཀྱི་སྒྲ	詮聚聲
ཚོགས་སྤྱི	聚總
ཚོགས་ལམ	資糧道
ཚོགས་ལམ་ཆེན་པོ	上品資糧道
ཚོར་བ	受
མཚན་ཉིད	性相
མཚན་ཉིད་ངོ་བོ་ཉིད་མེད་པ	相無自性性
མཚན་ཉིད་མེད་པའི་ཆོས་འཁོར	無相法輪
མཚན་ཉིད་ཡོངས་སུ་ཆད་པའི་ཀུན་བཏགས	斷相遍計所達
མཚན་དཔེ	相好
མཚན་མ་མེད་པ	無相
མཚན་མཚོན་ཁྱབ་པ་སྒོ་བརྒྱད	性相、名相的八周遍門
མཚན་མཚོན་ཆེ་བ	大性相名相
མཚན་གཞི	事相
མཚམས་སྦྱར	承接
མཚམས་མེད་ཀྱི་ལས	無間罪
མཚུངས་ལྡན	相應
མཚུངས་ལྡན་གྱི་རྒྱུ	相應因
མཚུངས་ལྡན་རྣམ་པ་ལྔ	五相相應
མཚོན་བྱ	名相
མཚོན་སྦྱོར	表徵論式
འཚིག་པ	惱
འཚེ་བ	害
འཛམ་བུའི་གླིང	贍部洲
འཛིན་སྟངས་ཀྱི་ཡུལ	執式境
འཛིན་པ	執取
རྫས	事
རྫས་ཐ་དད	異質
རྫས་ལྡོག	實、反
རྫས་ཡོད	實質有
རྫས་སུ་གྲུབ་པ	實質成立、實成
རྫས་རྒྱུན	質續流
རྫུན་པར་གྲུབ་པ	虛假成立
རྫོགས་བྱང	圓滿菩提
ཝ་ར་ཎཱ་སི	瓦拉納西
ཞར་བྱུང་བར་ཤུན	附帶判別
ཞར་བྱུང་བསྡུས་ཚན་ཀུན་ལ་མཁོ་བ་ཁས་བླངས་སོང་ཚུལ	附帶所有攝類單元之所需的等同承許之理
ཞི་གནས	奢摩他
ཞི་བ	靜
ཞི་བ་འཚོ	靜命
ཞི་བ་ལྷ	寂天
ཞི་ལྷག་ཟུང་འབྲེལ	止觀雙運
ཞིང	剎土
ཞེན་པ	耽著
ཞེན་ཡུལ	耽著境
ཞེན་ཡུལ་སུན་ཕྱུང་བ	破除耽著境
ཞེན་རིག	耽著了知
གཞན་དོན	利他
གཞན་དོན་སྐབས་ཀྱི་རྟགས་ཡང་དག	他義時正因
གཞན་དབང	依他起
གཞན་རིག	他證
གཞན་ལས་ངེས་ཀྱི་ཚད་མ	他決定量
གཞན་སེལ	遣他法
གཞལ་བ	衡量、量
གཞལ་བྱ	所量
གཞི་གྲུབ	基成
གཞི་ཆོས་ཐདད་མེད་ནས་མ་གྲུབ་པའི་གཏན་ཚིགས	事、法無異不成因
གཞི་རྟགས་ཐ་དད་མེད་ནས་མ་གྲུབ་པའི་གཏན་ཚིགས	事、因無異不成因
གཞི་མཐུན	同位
གཞི་ལྡོག	基返體
གཞི་བསྡུ་བ	《攝事分》
གཞི་རྩིས	諍事納入
གཞི་ཤེས	基智
གཞུང་སྦྱོར	論典論式
གཞུང་ཤེར་ཕྱིན	文字般若
གཞོན་ནུ་དཔལ	吉祥童子
བཞག་བྱ	所立
བཞི་བརྒྱ་པ	《四百論》
ཟག་བཅས	有漏
ཟག་མེད	無漏
ཟག་མེད་ས་དགུ	無漏九地
ཟིན་པ	攝持
གཟུགས	色
གཟུགས་ཀྱི་སྐྱེ་མཆེད	色處
གཟུགས་ཀྱི་དགག་གཞི	色之遮處
གཟུགས་ཀྱི་འབྲས་བུར་གྱུར་པའི་བློ	屬色法之果的覺知
གཟུགས་སྐུ	色身
གཟུགས་ཁམས	色界
གཟུགས་ཅན	有色
གཟུགས་མེད་ཁམས	無色界
གཟུགས་འཛིན་དབང་མངོན	執色根現前
གཟུང་དོན	所取義
གཟུང་བ་ཕྱི་རོལ་དོན་གྱིས་སྟོང་པ	所取以外境空
གཟུང་ཡུལ	所取境
གཟུངས	陀羅尼
གཟུངས་ཀྱི་དབང་ཕྱུག་རྒྱལ་པོས་ཞུས་པའི་མདོ	《陀羅尼自在王請問經》
གཟོད་མ་ནས་ཞི་བ	本來寂靜
གཟུགས་མེད་་ཉེར་འགྲོའི་ཕྱིར་མི་འོང	行無色不還
གཟུགས་སུ་ཉེར་འགྲོའི་ཕྱིར་མི་འོང	行色界不還
བཟོད་པ	忍
ཟླ་བའི་སྙིང་པོ	月藏
ཟླུམ་པོ	圓
འོག་མིན་མཐར་ཐུག་འགྲོ	行色究竟
འོད་མའི་ཚལ	藤蔓叢
འུག་པ	貓頭鷹
ཡང་དག་ཀུན་རྫོབ	正世俗
ཡང་དག་མཐའ	真實際
ཡང་དག་པར་གྲུབ་པ	真正成立
ཡང་དག་པའི་ངག	正語
ཡང་དག་པའི་ཏིང་ངེ་འཛིན	正定
ཡང་དག་པའི་རྟོག་པ	正思惟
ཡང་དག་པའི་ལྟ་བ	正見
ཡང་དག་པའི་དྲན་བ	正念
ཡང་དག་པའི་རྩོལ་བ	正精勤
ཡང་དག་པའི་འཚོ་བ	正命
ཡང་དག་པའི་ལས་ཀྱི་མཐའ	正業
ཡང་དག་ལྷག་ལྡན་གྱི་གཏན་ཚིགས	正有餘因
ཡན་ལག་གི་ཁ་དོག	支分色
ཡི་གེ	字
ཡི་གེ་ཉུང་ངུ	《般若少字經》
ཡི་དྭགས	餓鬼
ཡི་དམ་ལྷའི་ཞལ་གཟིགས	親見本尊天顏
ཡིད	意
ཡིད་ཀྱི་མངོན་སུམ	意現前
ཡིད་ཀྱི་རྣམ་ཤེས	意識
ཡིད་ཀྱི་རང་བཞིན་གྱི་ལུས	意生身
ཡིད་དུ་འོང་བ	悅意
ཡིད་འགྱུར	意轉
ཡིད་ཆེས་གྱི་རྟགས་ཡང་དག	信許正因
ཡིད་ཆེས་རྗེས་དཔག	信許比度
ཡིད་དཔྱོད	伺察知
ཡིད་འབྱུང་བ	厭離
ཡིད་མ་གཏད	意不專
ཡིད་འོང་གི་བྱམས་པ	悅意慈
ཡིད་ལ་བྱེད་པ	作意
ཡིད་ཤེས	意知
ཡིན་ཁྱབ་གཉིས	二是周遍
ཡིན་ཁྱབ་མཉམ	是等遍者
ཡིན་གྱུར་མིན་གྱུར	屬爾、非爾
ཡིན་པ་མི་སྲིད་པའི་ཤེས་བྱ	無是的所知
ཡིན་པ་སྲིད་པའི་ཤེས་བྱ	有是的所知
ཡིན་ལོག་མིན་ལོག	非是、非非
ཡུམ་དྲུག	六佛母經
ཡུལ་ཅན	有境
ཡུལ་རང་གི་གདོད་ལུགས་ཀྱི་ངོས་ནས་གྲུབ་པ	從境本自存在之方成立
ཡེ་ཤེས	本智
ཡེ་ཤེས་སྙིང་པོ	耶西寧波
ཡོངས་གྲུབ	圓成實
ཡོངས་གཅོད	內納
ཡོངས་གཏད་ཀྱི་ལེའུ	〈付囑品〉
ཡོངས་འཛིན	善知識
ཡོངས་སུ་མ་རྫོགས་པའི་འགོག་པ	不圓滿滅
